0,sad apl friend
0,miss new moon trailer
1,omg already
0,omega soo gunn cry dentist since suppose get crown put min
0,think mi bf cheat tt
0,worry much
1,chill
0,sunny work tomorrow tv tonight
1,hand uniform today miss already
1,hmm wonder number
0,must think positive
1,thank hater face day
0,weekend suck far
0,jb int show australia
0,ok thats win
0,way feel right
0,aware man completely useless rt funny twitter
1,feel strangely fine gonna go listen semiotic celebrate
0,huge roll thunder scary
0,cut beard grow well year gonna start happy meantime
0,sad iran
0,woman woman
1,one see cause one else follow pretty awesome
0,sad level write massive blow tweet space comp shut lose lay fetal position
0,head hospital pull golf tourney rd place think rip something yeah
0,bore whats wrong please tell
0,bother wish could spend rest life sit go gig seriously
0,feel like shit right really want sleep noo hour dance art assignment finish
1,goodbye exam hello alcohol tonight
0,didn realize deep gee give girl warn least
0,hate athlete appear tear acl live television
0,miss guy think wear skinny jean cute sweater heel really sure today
0,meet meat
0,horse move saturday morning
0,sit need work day week
0,really dont like room bore sick wardrobe cant wait till walk one yay
0,sox floyd great believer need scold
0,time like million
1,unload picture friendly
0,type span download virus msn fuck forever
0,amp amp fight wait babe
1,write something last week get call someone new york office
0,enough say
1,need even say well go anyways chris cornell chicago tonight
1,health class joke
1,go show tonight
0,really make sad look muslim reality
0,time low shall motivation rest week
0,entertainment someone complain properly experimental say experiment melody
0,another year maker neither magic fun
0,baddest day ever
1,bathroom clean enjoyable task
1,boom boom pow
0,proud
0,congrats hello though
0,david must hospitalize five day end july palatine tonsil probably never see katie concert
0,friend leave cause stupid love
1,go give ur mom hug right
1,go see harry sunday happiness
0,hand quilt
0,hate ley ar
1,always get want
1,bend backwards
1,get work soon miss cody boo haven see forever
1,hate allergy get hair cut tomorrow take public poll
0,love guy much hurt
0,miss earl
0,miss new jersey
0,miss first hour stych last night find online
0,need fix
0,never think become second choice
0,think may friendly lol well
0,think manuel basil plant day live
0,wanna home church wonder
0,wanna make pizza
0,want gb harddrive inch tv new guitar anyonefeeling generous
0,want hug
0,want mile tour australia
0,want sleep morning mean kid possible stick head wish could fly away like squirrel
0,slow get six
0,send sunshine northern ireland go swim today
0,wish could go beach would great see amp
0,would much happy wall bedroom paint white
0,ink wat trust sorry da pain cause nobody ma take dis time straighten luv
0,find intercept slope bang head wall math brain head come save
1,really go bed
0,sick cough cough
0,cab head airport go home christy
0,case feel emo camp feel wee bite bring human right watch world report hope work
1,jin twitter
0,jonas day almost
0,jus get hom fr tda funeral sad cry much time much love grandpa never get say last goodbye
1,gonna smile cut sure could want
1,get home get see friend zara haven see since graduate make happy
